SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
1,STG,-0.44676923441797445,0.5103757412371479,-0.9368895339022392,0.5443141424546778,0,2,0,3,0,0,0,0
1,IFG,0.6216634017139744,-0.08845032156383903,-0.7864819603213982,0.06419094739921727,2,0,3,0,1,1,1,1
5,STG,0.053064431991491384,0.0016718723470265928,-0.3710940063345812,0.8765005990315804,0,2,0,3,0,0,0,0
5,IFG,-0.7896959768189706,-0.9499732408811727,-0.6139426677737418,1.1144716084305935,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.9878156399322713,0.04150816899945796,0.3258275666266158,0.9158293097578705,0,0,2,3,NaN,0,NaN,0.4
10,IFG,-0.7186619999260375,-0.316971656439095,0.21542326082934068,0.9130560546821986,0,0,3,2,NaN,0,NaN,0.6
50,STG,0.9017464740911411,0.9062355504507967,-0.9008970076922802,1.3928231448613206,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.5183509659812315,-0.9252547348571004,-0.27884730512712685,0.46548681192098457,0,3,0,2,0,0,0,0
100,STG,0.22861629954565257,0.3284350034119321,-0.9705334720967057,0.446455560959117,0,2,0,3,0,0,0,0
100,IFG,0.22797594410399188,-0.19749424626855805,-0.12976015844991864,0.514131286014446,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,-0.42495193912659573,-0.9226371042139804,0.8716173562511615,0.40359545852610135,3,0,2,0,1,1,1,1
500,IFG,-0.3111736354417759,0.94718999238223,0.24387208493710164,0.6717637109548199,2,0,3,0,1,1,1,1
1000,STG,0.6755746357707779,-0.9915853062722966,0.9595430719023692,0.3321355270461164,3,0,2,0,1,1,1,1
1000,IFG,-0.18974876437169452,0.9897387287713022,-0.8193706414238173,0.2397434014330549,2,0,3,0,1,1,1,1
2500,STG,-0.44846020966114636,-0.8345470175134968,0.9637437130983884,0.2513352413947112,3,0,2,0,1,1,1,1
2500,IFG,-0.8696130199550223,0.9594150582175631,-0.8558554974035212,0.34814781338777023,2,0,3,0,1,1,1,1
5000,STG,0.9007041551736634,-0.9652548328075351,-0.35970722415895934,0.5917629260715072,3,2,0,0,0.6,1,0.7499999999999999,0.6
5000,IFG,0.21559067331714127,0.9824387344154976,-0.25185945615517247,0.32119154284844287,2,3,0,0,0.4,1,0.5714285714285714,0.4
7500,STG,0.6115386552983731,-0.9802314711910554,0.882665356387496,0.226809773896041,3,1,1,0,0.75,1,0.8571428571428572,0.8
7500,IFG,-0.4256779817583486,0.944416861346141,-0.9176803107794347,0.445365811520819,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.12196901490366541,-0.4744870926826415,0.9392043351071913,0.30380601419381764,3,0,2,0,1,1,1,1
10000,IFG,0.9113167789078039,-0.6457429704608578,0.9500837267519102,1.3045921758836458,0,3,0,2,0,0,0,0
1,STG,-0.34422125630739275,-0.44943825093301265,0.26977316602913426,1.9359341439695914,0,0,2,3,NaN,0,NaN,0.4
1,IFG,-0.22408774559369204,0.7343802279937162,0.4276751869860407,1.1692498459191123,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.014667303168264575,0.43242821479595106,0.5419550373736595,0.12404131481654179,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,0.7741980614853541,0.071894666460528,0.2245790596895627,0.536638859248534,2,3,0,0,0.4,1,0.5714285714285714,0.4
10,STG,0.05631055603166274,-0.9078752245186876,0.9246483570315915,1.9636850169119142,3,0,2,0,1,1,1,1
10,IFG,-0.4526434769628007,-0.33137794663609593,0.6181943886810963,0.28156347591856473,0,3,0,2,0,0,0,0
50,STG,-0.9938493427080919,0.2140998269112398,-0.9581322921063682,0.6411283842019565,0,0,2,3,NaN,0,NaN,0.4
50,IFG,-0.39136095066522625,0.75729581249535,0.31035653290637727,0.9398647835415294,2,0,3,0,1,1,1,1
100,STG,-0.7660236721175819,-0.7043025264829674,-0.25262862252290247,1.144843461215791,0,0,2,3,NaN,0,NaN,0.4
100,IFG,-0.23877171381561563,-0.9920381896808461,-0.7892707660913484,0.5720303829367762,0,0,3,2,NaN,0,NaN,0.6
500,STG,-0.6987835762046248,-0.9589300973860786,0.8905024720311996,0.4234866532407594,3,0,2,0,1,1,1,1
500,IFG,-0.49489830847515703,-0.4606029650269534,0.9553629814438054,0.3871360836442069,2,3,0,0,0.4,1,0.5714285714285714,0.4
1000,STG,-0.9965209135212101,-0.042792465041018725,0.016195017155184323,0.40531281611985104,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.25890619414634997,-0.981772246385409,0.34429040120707594,0.6123185727937059,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.48891857310176434,-0.5786406365975725,0.05384702043700807,0.41855588612192896,0,0,2,3,NaN,0,NaN,0.4
2500,IFG,0.5091707323941563,0.6973768845666533,-0.9109136454344967,0.7589126311746075,2,0,3,0,1,1,1,1
5000,STG,-0.7349567425819514,-0.6813983305960012,0.9192041989727497,0.33327927933116364,0,0,2,3,NaN,0,NaN,0.4
5000,IFG,-0.003658104069378623,0.5290088302701943,-0.9017509919174393,0.20556903274065866,2,3,0,0,0.4,1,0.5714285714285714,0.4
7500,STG,0.5993029718981723,-0.8781760671098437,0.928651014524812,0.21592329270724508,3,0,2,0,1,1,1,1
7500,IFG,-0.8203877675592008,0.9465192757910686,-0.9741923398698852,0.22216343918221054,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.2961823187452727,0.46693664517404976,0.9168483364528308,0.3713167548530433,0,0,2,3,NaN,0,NaN,0.4
10000,IFG,-0.8103077786907582,0.9239824822022812,-0.6704326269435681,0.5132839427529168,2,0,3,0,1,1,1,1
1,STG,-0.08957980515585584,-0.09787986947679572,-0.6565246141234642,1.0276741474997273,0,0,2,3,NaN,0,NaN,0.4
1,IFG,0.977528830064915,0.18307822093830062,0.09300993506086908,0.8018068300561434,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.8871205946744141,0.8060821130109677,0.7309529970528363,0.6349345964640025,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.3077195817830515,0.683363705638179,0.388118258293004,0.36372409650155113,2,3,0,0,0.4,1,0.5714285714285714,0.4
