METHOD,SAMPLES,REAL,USER,SYS,(SECONDS)
Standard,100,3.989,3.837,0.395,
Standard,100,3.946,3.939,0.381,
Standard,100,3.954,3.875,0.394,
Standard,100,3.834,3.896,0.33,
Standard,100,3.18,3.596,0.281,
Standard,100,3.332,3.661,0.266,
Standard,100,3.098,3.561,0.258,
Standard,100,2.453,3.137,0.156,
Standard,100,2.514,3.123,0.168,
Standard,100,2.703,3.19,0.153,
Standard,500,3.678,3.746,0.389,
Standard,500,3.399,3.845,0.285,
Standard,500,3.364,3.877,0.295,
Standard,500,3.466,3.733,0.203,
Standard,500,3.357,3.879,0.27,
Standard,500,3.546,3.779,0.363,
Standard,500,3.446,3.829,0.259,
Standard,500,2.497,3.261,0.164,
Standard,500,2.558,3.306,0.149,
Standard,500,2.574,3.297,0.158,
Standard,1000,4.256,4.29,0.431,
Standard,1000,3.885,3.988,0.377,
Standard,1000,3.322,3.841,0.251,
Standard,1000,3.307,3.841,0.251,
Standard,1000,3.348,3.897,0.267,
Standard,1000,3.489,3.963,0.262,
Standard,1000,3.351,3.883,0.26,
Standard,1000,4.528,4.515,0.392,
Standard,1000,4.196,4.214,0.413,
Standard,1000,4.466,4.388,0.402,
Standard,2500,4.073,4.262,0.427,
Standard,2500,3.577,4.112,0.274,
Standard,2500,3.601,4.148,0.278,
Standard,2500,3.369,4.043,0.246,
Standard,2500,3.92,4.619,0.272,
Standard,2500,3.666,4.312,0.274,
Standard,2500,3.663,4.276,0.284,
Standard,2500,3.746,4.428,0.313,
Standard,2500,3.356,3.953,0.216,
Standard,2500,3.67,4.218,0.276,
Standard,5000,4.112,4.638,0.31,
Standard,5000,3.934,4.495,0.292,
Standard,5000,4.252,4.823,0.303,
Standard,5000,4.008,4.57,0.299,
Standard,5000,3.999,4.558,0.295,
Standard,5000,3.752,4.367,0.249,
Standard,5000,4.085,4.712,0.299,
Standard,5000,4.064,4.675,0.302,
Standard,5000,3.449,4.239,0.195,
Standard,5000,3.177,3.986,0.167,
Standard,7500,4.402,4.888,0.32,
Standard,7500,4.426,5.007,0.312,
Standard,7500,4.302,4.885,0.312,
Standard,7500,4.451,5.038,0.326,
Standard,7500,4.484,5.073,0.32,
Standard,7500,4.486,5.108,0.314,
Standard,7500,4.684,5.261,0.326,
Standard,7500,3.425,4.277,0.174,
Standard,7500,3.421,4.277,0.186,
Standard,7500,3.294,4.035,0.171,
Standard,10000,4.959,5.379,0.344,
Standard,10000,5.154,5.555,0.401,
Standard,10000,5.928,6.032,0.494,
Standard,10000,5.338,5.452,0.448,
Standard,10000,6.09,6.012,0.55,
Standard,10000,5.991,5.929,0.548,
Standard,10000,6.248,6.138,0.567,
Standard,10000,5.807,5.686,0.543,
Standard,10000,5.63,5.513,0.525,
Standard,10000,5.745,5.638,0.519,
Marginal,100,3.697,4.229,0.287,
Marginal,100,3.605,4.169,0.273,
Marginal,100,3.686,4.408,0.286,
Marginal,100,3.542,4.251,0.285,
Marginal,100,3.454,4.172,0.242,
Marginal,100,3.579,4.184,0.277,
Marginal,100,3.642,4.335,0.292,
Marginal,100,3.68,4.393,0.284,
Marginal,100,2.715,3.606,0.176,
Marginal,100,2.684,3.552,0.167,
Marginal,500,3.996,4.831,0.199,
Marginal,500,4.917,5.602,0.344,
Marginal,500,5.426,5.735,0.331,
Marginal,500,4.901,5.439,0.33,
Marginal,500,4.794,5.371,0.316,
Marginal,500,4.971,5.774,0.326,
Marginal,500,3.854,4.702,0.199,
Marginal,500,3.708,4.953,0.185,
Marginal,500,3.986,4.708,0.214,
Marginal,500,3.735,4.585,0.2,
Marginal,1000,7.21,7.599,0.472,
Marginal,1000,7.596,7.617,0.552,
Marginal,1000,8.872,8.072,0.802,
Marginal,1000,8.074,7.662,0.709,
Marginal,1000,8.444,7.845,0.749,
Marginal,1000,8.981,8.507,0.768,
Marginal,1000,8.725,8.328,0.741,
Marginal,1000,8.819,8.284,0.766,
Marginal,1000,9.413,8.656,0.843,
Marginal,1000,9.693,9.136,0.95,
Marginal,2500,12.008,12.303,0.638,
Marginal,2500,11.446,11.984,0.629,
Marginal,2500,11.198,11.765,0.608,
Marginal,2500,11.222,11.849,0.63,
Marginal,2500,7.778,9.03,0.274,
Marginal,2500,8.428,9.649,0.283,
Marginal,2500,8.21,9.322,0.307,
Marginal,2500,8.059,9.177,0.283,
Marginal,2500,8.452,9.555,0.288,
Marginal,2500,8.387,9.484,0.279,
Marginal,5000,19.144,19.562,0.995,
Marginal,5000,18.508,18.976,0.887,
Marginal,5000,19.634,20.049,1.03,
Marginal,5000,19.391,19.573,0.975,
Marginal,5000,19.268,19.668,0.905,
Marginal,5000,16.495,17.264,0.751,
Marginal,5000,12.875,14.231,0.407,
Marginal,5000,12.415,13.349,0.334,
Marginal,5000,13.36,14.931,0.356,
Marginal,5000,12.842,14.277,0.363,
Marginal,7500,28.009,28.17,1.352,
Marginal,7500,26.7,25.391,1.506,
Marginal,7500,32.669,29.56,2.265,
Marginal,7500,32.595,29.766,2.13,
Marginal,7500,40.433,32.324,2.894,
Marginal,7500,35.598,31.36,2.56,
Marginal,7500,30.435,28.742,1.371,
Marginal,7500,30.407,27.907,1.713,
Marginal,7500,35.194,30.296,2.64,
Marginal,7500,33.506,29.114,2.467,
Marginal,10000,44.721,38.762,3.344,
Marginal,10000,22.43,24.32,0.624,
Marginal,10000,24.146,25.661,0.676,
Marginal,10000,41.874,39.353,2.377,
Marginal,10000,45.837,38.398,3.239,
Marginal,10000,47.579,39.316,3.455,
Marginal,10000,46.607,38.875,3.4,
Marginal,10000,45.696,38.276,3.374,
Marginal,10000,44.397,37.999,3.546,
Marginal,10000,42.223,36.937,3.046,
